Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,World,Agricultural Production,million t DM/yr,,3501.0726,3789.7702,4072.1958,4373.4574,4731.6215,5607.1628,6637.1209,8237.3252,8974.1313,9258.5516,9882.7281,10722.242,11385.0437,11539.5173,11779.335,12060.0432,12347.923,12627.4415,12896.1257,13153.6775
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,182.2014,183.0012,186.683,165.3924,147.1347,138.4551,129.1547,122.5376,114.7421,116.286,116.6897,118.3654,116.5852,118.4647,120.7009,122.8087,124.5287,125.9097,127.07
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,World,Agricultural Production,million t DM/yr,,3501.0726,3789.7688,4072.1912,4373.4315,4730.3159,5587.23,6582.5317,8169.6176,8894.9803,9175.32,9779.6124,10596.7285,11250.0747,11424.599,11654.2239,11899.4801,12159.4653,12410.6774,12652.6676,12899.5387
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,182.1988,182.8399,186.4388,165.5328,147.6022,138.9549,130.1709,124.1537,118.2163,119.9042,120.7885,122.472,121.6829,123.6536,126.0864,128.4364,130.3833,132.0243,133.4259
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,World,Agricultural Production,million t DM/yr,,3501.0726,3780.9036,4061.9669,4357.8739,4707.0358,5550.3308,6655.0205,8452.617,9254.6224,9488.7612,10303.6891,11169.1954,11959.6456,12193.1889,12450.8448,12745.9053,13038.895,13306.1676,13555.6239,13791.4127
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,World,Emissions|CH4|AFOLU,Mt CH4/yr,,169.5857,180.3912,182.7587,187.2289,163.5443,143.1701,134.0689,125.1088,118.8394,112.8964,113.9138,113.4878,114.5407,112.6128,113.8841,115.6108,117.1524,118.1942,118.8247,119.165
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,World,Population,million,,6490.9879,6879.5896,7257.2329,7623.6572,7964.4282,8273.4011,8551.0051,8795.5201,9004.0542,9172.3104,9297.5,9380.9208,9427.6492,9442.8467,9427.5656,9383.0055,9312.1394,9220.2795,9112.0365,8990.6331
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,World,Agricultural Production,million t DM/yr,,3501.0726,3768.087,4032.82,4307.8254,4607.756,5340.7665,6336.9682,8038.6877,8798.0574,9011.4325,9549.274,10293.4993,10880.5239,10930.3383,10998.0594,11089.3215,11165.4699,11202.5879,11203.4975,11169.0245
