Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand,World,Emissions|CH4|AFOLU,Mt CH4/yr,146.127329,148.4991856,150.8673558,,157.9207567,,114.7460852,,107.1515111,,101.6058017,,96.51845926,,92.00235266,,87.92285905,,83.55139375,,78.43189389
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand,World,Population,million,6119.419991,6503.129936,6867.390038,,7611.25,,8261.990013,,8787.120064,,9169.10997,,9384.700012,,9456.880089,,9407.260017,,9253.949951,,9032.419945
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand,World,Agricultural Production,million t DM/yr,2699.025287,3029.639412,3360.253536,,4141.051707,,4733.792604,,5197.489439,,5880.98154,,6905.90176,,7998.91819,,8630.448305,,9186.550067,,8899.77542
POLES ADVANCE,ADVANCE_2020_1.5C-2100,World,Emissions|CH4|AFOLU,Mt CH4/yr,,142.1919405,147.515869,152.1450238,157.1981667,130.9040119,105.021869,91.11034524,88.22389286,86.63818452,85.33520833,84.49579762,83.44344048,82.99304167,82.62289286,82.15297619,81.80593452,81.58585119,81.75982738,81.90366071,82.27276786
POLES ADVANCE,ADVANCE_2020_1.5C-2100,World,Population,million,,6519.617,6930.114,7352.163,7762.174,8147.587,8509.445,8851.287,9173.93,9474.89,9750.042,9997.394,10216.471,10407.837,10580.054,10733.665,10868.609,10985.482,11087.241,11174.48,11245.415
POLES EMF33,EMF33_1.5C_cost100,World,Population,million,6127.699219,6514.096191,6916.183105,,7611.720215,,8261.573242,,8784.689453,,9162.884766,,9373.485352,,9438.147461,,9381.642578,,9222.657227,,8996.492188
POLES EMF33,EMF33_1.5C_full,World,Population,million,6127.699219,6514.096191,6916.183105,,7611.720215,,8261.573242,,8784.689453,,9162.884766,,9373.485352,,9438.147461,,9381.642578,,9222.657227,,8996.492188
POLES EMF33,EMF33_1.5C_limbio,World,Population,million,6127.699219,6514.096191,6916.183105,,7611.720215,,8261.573242,,8784.689453,,9162.884766,,9373.485352,,9438.147461,,9381.642578,,9222.657227,,8996.492188
POLES EMF33,EMF33_1.5C_nofuel,World,Population,million,6127.699219,6514.096191,6916.183105,,7611.720215,,8261.573242,,8784.689453,,9162.884766,,9373.485352,,9438.147461,,9381.642578,,9222.657227,,8996.492188
POLES EMF33,EMF33_WB2C_cost100,World,Population,million,6127.699219,6514.096191,6916.183105,,7611.720215,,8261.573242,,8784.689453,,9162.884766,,9373.485352,,9438.147461,,9381.642578,,9222.657227,,8996.492188
POLES EMF33,EMF33_WB2C_full,World,Population,million,6127.699219,6514.096191,6916.183105,,7611.720215,,8261.573242,,8784.689453,,9162.884766,,9373.485352,,9438.147461,,9381.642578,,9222.657227,,8996.492188
POLES EMF33,EMF33_WB2C_limbio,World,Population,million,6127.699219,6514.096191,6916.183105,,7611.720215,,8261.573242,,8784.689453,,9162.884766,,9373.485352,,9438.147461,,9381.642578,,9222.657227,,8996.492188
POLES EMF33,EMF33_WB2C_nobeccs,World,Population,million,6127.699219,6514.096191,6916.183105,,7611.720215,,8261.573242,,8784.689453,,9162.884766,,9373.485352,,9438.147461,,9381.642578,,9222.657227,,8996.492188
POLES EMF33,EMF33_WB2C_nofuel,World,Population,million,6127.699219,6514.096191,6916.183105,,7611.720215,,8261.573242,,8784.689453,,9162.884766,,9373.485352,,9438.147461,,9381.642578,,9222.657227,,8996.492188
POLES EMF33,EMF33_WB2C_none,World,Population,million,6127.699219,6514.096191,6916.183105,,7611.720215,,8261.573242,,8784.689453,,9162.884766,,9373.485352,,9438.147461,,9381.642578,,9222.657227,,8996.492188
REMIND 1.5,EMC_Def_100$,World,Population,million,,6458.693848,6846.674805,,7626.876953,,8290.268555,,8833.264648,,9262.699219,,9549.671875,,9728.050781,,9821.392578,,9841.505859,,9804.999023
REMIND 1.5,EMC_LimSW_100$,World,Population,million,,6458.693848,6846.674805,,7626.876953,,8290.268555,,8833.264648,,9262.699219,,9549.671875,,9728.050781,,9821.392578,,9841.505859,,9804.999023
REMIND 1.5,EMC_NucPO_100$,World,Population,million,,6458.693848,6846.674805,,7626.876953,,8290.268555,,8833.264648,,9262.699219,,9549.671875,,9728.050781,,9821.392578,,9841.505859,,9804.999023
REMIND 1.5,EMC_lowEI_100$,World,Population,million,,6458.693848,6846.674805,,7626.876953,,8290.268555,,8833.264648,,9262.699219,,9549.671875,,9728.050781,,9821.392578,,9841.505859,,9804.999023
REMIND 1.7,CEMICS-1.5-CDR12,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5003,181.6203,201.6234,204.5662,195.7558,192.2569,189.4602,187.0962,185.4164,181.1218,184.2896,185.3953,,184.5141,,180.9719,,172.7165,,158.6421
REMIND 1.7,CEMICS-1.5-CDR12,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND 1.7,CEMICS-1.5-CDR8,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5003,181.6203,201.6234,204.5662,195.4971,191.7797,189.4602,187.0962,185.4164,181.1218,184.2896,185.3953,,184.5141,,180.9719,,172.7165,,158.6421
REMIND 1.7,CEMICS-1.5-CDR8,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.6215,181.524,202.6688,216.7587,173.746,182.1319,174.6753,180.9942,170.6232,173.6949,166.8832,167.927,,165.1481,,159.4732,,148.4639,,132.9211
