Domain|Area|Element|Item|Year|Unit|Value
Manure applied to Soils|American Samoa|Manure applied to soils that volatilises (N content)|Cattle, dairy|2010|kg|40.5483
Manure applied to Soils|American Samoa|Implied emission factor for N2O (Manure applied)|Cattle, dairy|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|American Samoa|Emissions (N2O) (Manure applied)|Cattle, dairy|2010|gigagrams|0
Manure applied to Soils|American Samoa|Stocks|Cattle, non-dairy|2010|Head|86
Manure applied to Soils|American Samoa|Manure applied to soils (N content)|Cattle, non-dairy|2010|kg|279.6849
Manure applied to Soils|American Samoa|Manure applied to soils that leaches (N content)|Cattle, non-dairy|2010|kg|83.9055
Manure applied to Soils|American Samoa|Manure applied to soils that volatilises (N content)|Cattle, non-dairy|2010|kg|55.937
Manure applied to Soils|American Samoa|Implied emission factor for N2O (Manure applied)|Cattle, non-dairy|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|American Samoa|Emissions (N2O) (Manure applied)|Cattle, non-dairy|2010|gigagrams|0
Manure applied to Soils|American Samoa|Stocks|Chickens, broilers|2010|Head|31287
Manure applied to Soils|American Samoa|Manure applied to soils (N content)|Chickens, broilers|2010|kg|10966.3907
Manure applied to Soils|American Samoa|Manure applied to soils that leaches (N content)|Chickens, broilers|2010|kg|3289.9172
Manure applied to Soils|American Samoa|Manure applied to soils that volatilises (N content)|Chickens, broilers|2010|kg|2193.2781
Manure applied to Soils|American Samoa|Implied emission factor for N2O (Manure applied)|Chickens, broilers|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|American Samoa|Emissions (N2O) (Manure applied)|Chickens, broilers|2010|gigagrams|0.0002
Manure applied to Soils|American Samoa|Stocks|Chickens, layers|2010|Head|8713
Manure applied to Soils|American Samoa|Manure applied to soils (N content)|Chickens, layers|2010|kg|4553.2204
Manure applied to Soils|American Samoa|Manure applied to soils that leaches (N content)|Chickens, layers|2010|kg|1365.9661
Manure applied to Soils|American Samoa|Manure applied to soils that volatilises (N content)|Chickens, layers|2010|kg|910.6441
Manure applied to Soils|American Samoa|Implied emission factor for N2O (Manure applied)|Chickens, layers|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|American Samoa|Emissions (N2O) (Manure applied)|Chickens, layers|2010|gigagrams|0.0001
Manure applied to Soils|American Samoa|Stocks|Cattle|2010|Head|110
Manure applied to Soils|American Samoa|Manure applied to soils (N content)|Cattle|2010|kg|482.4263
Manure applied to Soils|American Samoa|Manure applied to soils that leaches (N content)|Cattle|2010|kg|144.7279
Manure applied to Soils|American Samoa|Manure applied to soils that volatilises (N content)|Cattle|2010|kg|96.4853
Manure applied to Soils|American Samoa|Emissions (N2O) (Manure applied)|Cattle|2010|gigagrams|0
Manure applied to Soils|American Samoa|Stocks|Poultry Birds|2010|Head|40000
Manure applied to Soils|American Samoa|Manure applied to soils (N content)|Poultry Birds|2010|kg|15519.6111
Manure applied to Soils|American Samoa|Manure applied to soils that leaches (N content)|Poultry Birds|2010|kg|4655.8833
Manure applied to Soils|American Samoa|Manure applied to soils that volatilises (N content)|Poultry Birds|2010|kg|3103.9222
Manure applied to Soils|American Samoa|Emissions (N2O) (Manure applied)|Poultry Birds|2010|gigagrams|0.0003
Manure applied to Soils|American Samoa|Stocks|Sheep and Goats|2010||0
Manure applied to Soils|American Samoa|Manure applied to soils (N content)|Sheep and Goats|2010||0
Manure applied to Soils|American Samoa|Manure applied to soils that leaches (N content)|Sheep and Goats|2010||0
Manure applied to Soils|American Samoa|Manure applied to soils that volatilises (N content)|Sheep and Goats|2010||0
Manure applied to Soils|American Samoa|Emissions (N2O) (Manure applied)|Sheep and Goats|2010||0
Manure applied to Soils|American Samoa|Stocks|Swine|2010|Head|10500
Manure applied to Soils|American Samoa|Manure applied to soils (N content)|Swine|2010|kg|64671.9603
Manure applied to Soils|American Samoa|Manure applied to soils that leaches (N content)|Swine|2010|kg|19401.5881
Manure applied to Soils|American Samoa|Manure applied to soils that volatilises (N content)|Swine|2010|kg|12934.3921
Manure applied to Soils|American Samoa|Implied emission factor for N2O (Manure applied)|Swine|2010||0
Manure applied to Soils|American Samoa|Emissions (N2O) (Manure applied)|Swine|2010|gigagrams|0.0014
Manure applied to Soils|Andorra|Stocks|Cattle, dairy|2010||0
Manure applied to Soils|Andorra|Manure applied to soils (N content)|Cattle, dairy|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that leaches (N content)|Cattle, dairy|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that volatilises (N content)|Cattle, dairy|2010||0
Manure applied to Soils|Andorra|Implied emission factor for N2O (Manure applied)|Cattle, dairy|2010||0
Manure applied to Soils|Andorra|Emissions (N2O) (Manure applied)|Cattle, dairy|2010||0
Manure applied to Soils|Andorra|Stocks|Cattle, non-dairy|2010||0
Manure applied to Soils|Andorra|Manure applied to soils (N content)|Cattle, non-dairy|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that leaches (N content)|Cattle, non-dairy|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that volatilises (N content)|Cattle, non-dairy|2010||0
Manure applied to Soils|Andorra|Implied emission factor for N2O (Manure applied)|Cattle, non-dairy|2010||0
Manure applied to Soils|Andorra|Emissions (N2O) (Manure applied)|Cattle, non-dairy|2010||0
Manure applied to Soils|Andorra|Stocks|Chickens, broilers|2010||0
Manure applied to Soils|Andorra|Manure applied to soils (N content)|Chickens, broilers|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that leaches (N content)|Chickens, broilers|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that volatilises (N content)|Chickens, broilers|2010||0
Manure applied to Soils|Andorra|Implied emission factor for N2O (Manure applied)|Chickens, broilers|2010||0
Manure applied to Soils|Andorra|Emissions (N2O) (Manure applied)|Chickens, broilers|2010||0
Manure applied to Soils|Andorra|Stocks|Chickens, layers|2010||0
Manure applied to Soils|Andorra|Manure applied to soils (N content)|Chickens, layers|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that leaches (N content)|Chickens, layers|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that volatilises (N content)|Chickens, layers|2010||0
Manure applied to Soils|Andorra|Implied emission factor for N2O (Manure applied)|Chickens, layers|2010||0
Manure applied to Soils|Andorra|Emissions (N2O) (Manure applied)|Chickens, layers|2010||0
Manure applied to Soils|Andorra|Stocks|Cattle|2010||0
Manure applied to Soils|Andorra|Manure applied to soils (N content)|Cattle|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that leaches (N content)|Cattle|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that volatilises (N content)|Cattle|2010||0
Manure applied to Soils|Andorra|Emissions (N2O) (Manure applied)|Cattle|2010||0
Manure applied to Soils|Andorra|Stocks|Poultry Birds|2010||0
Manure applied to Soils|Andorra|Manure applied to soils (N content)|Poultry Birds|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that leaches (N content)|Poultry Birds|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that volatilises (N content)|Poultry Birds|2010||0
Manure applied to Soils|Andorra|Emissions (N2O) (Manure applied)|Poultry Birds|2010||0
Manure applied to Soils|Andorra|Stocks|Sheep and Goats|2010||0
Manure applied to Soils|Andorra|Manure applied to soils (N content)|Sheep and Goats|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that leaches (N content)|Sheep and Goats|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that volatilises (N content)|Sheep and Goats|2010||0
Manure applied to Soils|Andorra|Emissions (N2O) (Manure applied)|Sheep and Goats|2010||0
Manure applied to Soils|Andorra|Stocks|Swine|2010||0
Manure applied to Soils|Andorra|Manure applied to soils (N content)|Swine|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that leaches (N content)|Swine|2010||0
Manure applied to Soils|Andorra|Manure applied to soils that volatilises (N content)|Swine|2010||0
Manure applied to Soils|Andorra|Implied emission factor for N2O (Manure applied)|Swine|2010||0
Manure applied to Soils|Andorra|Emissions (N2O) (Manure applied)|Swine|2010||0
Manure applied to Soils|Angola|Stocks|Cattle, dairy|2010|Head|397400
Manure applied to Soils|Angola|Manure applied to soils (N content)|Cattle, dairy|2010|kg|2062158.275
Manure applied to Soils|Angola|Manure applied to soils that leaches (N content)|Cattle, dairy|2010|kg|618647.4825
Manure applied to Soils|Angola|Manure applied to soils that volatilises (N content)|Cattle, dairy|2010|kg|412431.655
Manure applied to Soils|Angola|Implied emission factor for N2O (Manure applied)|Cattle, dairy|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|Angola|Emissions (N2O) (Manure applied)|Cattle, dairy|2010|gigagrams|0.0462
Manure applied to Soils|Angola|Stocks|Cattle, non-dairy|2010|Head|4090438
Manure applied to Soils|Angola|Manure applied to soils (N content)|Cattle, non-dairy|2010|kg|2603570.3317
Manure applied to Soils|Angola|Manure applied to soils that leaches (N content)|Cattle, non-dairy|2010|kg|781071.0995
Manure applied to Soils|Angola|Manure applied to soils that volatilises (N content)|Cattle, non-dairy|2010|kg|520714.0663
Manure applied to Soils|Angola|Implied emission factor for N2O (Manure applied)|Cattle, non-dairy|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|Angola|Emissions (N2O) (Manure applied)|Cattle, non-dairy|2010|gigagrams|0.0583
Manure applied to Soils|Angola|Stocks|Chickens, broilers|2010|Head|16269000
Manure applied to Soils|Angola|Manure applied to soils (N content)|Chickens, broilers|2010|kg|1116972.5985
Manure applied to Soils|Angola|Manure applied to soils that leaches (N content)|Chickens, broilers|2010|kg|335091.7796
Manure applied to Soils|Angola|Manure applied to soils that volatilises (N content)|Chickens, broilers|2010|kg|223394.5197
Manure applied to Soils|Angola|Implied emission factor for N2O (Manure applied)|Chickens, broilers|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|Angola|Emissions (N2O) (Manure applied)|Chickens, broilers|2010|gigagrams|0.025
Manure applied to Soils|Angola|Stocks|Chickens, layers|2010|Head|850000
Manure applied to Soils|Angola|Manure applied to soils (N content)|Chickens, layers|2010|kg|87006.51
Manure applied to Soils|Angola|Manure applied to soils that leaches (N content)|Chickens, layers|2010|kg|26101.953
Manure applied to Soils|Angola|Manure applied to soils that volatilises (N content)|Chickens, layers|2010|kg|17401.302
Manure applied to Soils|Angola|Implied emission factor for N2O (Manure applied)|Chickens, layers|2010|kg N2O-N/kg N|0.0143
Manure applied to Soils|Angola|Emissions (N2O) (Manure applied)|Chickens, layers|2010|gigagrams|0.0019
Manure applied to Soils|Angola|Stocks|Cattle|2010|Head|4487838
Manure applied to Soils|Angola|Manure applied to soils (N content)|Cattle|2010|kg|4665728.6067
Manure applied to Soils|Angola|Manure applied to soils that leaches (N content)|Cattle|2010|kg|1399718.582
Manure applied to Soils|Angola|Manure applied to soils that volatilises (N content)|Cattle|2010|kg|933145.7213
Manure applied to Soils|Angola|Emissions (N2O) (Manure applied)|Cattle|2010|gigagrams|0.1045
Manure applied to Soils|Angola|Stocks|Poultry Birds|2010|Head|17119000
Manure applied to Soils|Angola|Manure applied to soils (N content)|Poultry Birds|2010|kg|1203979.1085
Manure applied to Soils|Angola|Manure applied to soils that leaches (N content)|Poultry Birds|2010|kg|361193.7326
Manure applied to Soils|Angola|Manure applied to soils that volatilises (N content)|Poultry Birds|2010|kg|240795.8217
Manure applied to Soils|Angola|Emissions (N2O) (Manure applied)|Poultry Birds|2010|gigagrams|0.027
Manure applied to Soils|Angola|Stocks|Sheep and Goats|2010|Head|4827996
Manure applied to Soils|Angola|Manure applied to soils (N content)|Sheep and Goats|2010|kg|1379866.3722
Manure applied to Soils|Angola|Manure applied to soils that leaches (N content)|Sheep and Goats|2010|kg|413959.9117
Manure applied to Soils|Angola|Manure applied to soils that volatilises (N content)|Sheep and Goats|2010|kg|275973.2744
Manure applied to Soils|Angola|Emissions (N2O) (Manure applied)|Sheep and Goats|2010|gigagrams|0.0309
Manure applied to Soils|Angola|Stocks|Swine|2010|Head|1934764
Manure applied to Soils|Angola|Manure applied to soils (N content)|Swine|2010|kg|27395253.1625
Manure applied to Soils|Angola|Manure applied to soils that leaches (N content)|Swine|2010|kg|8218575.9488
Manure applied to Soils|Angola|Manure applied to soils that volatilises (N content)|Swine|2010|kg|5479050.6325
Manure applied to Soils|Angola|Implied emission factor for N2O (Manure applied)|Swine|2010||0
Manure applied to Soils|Angola|Emissions (N2O) (Manure applied)|Swine|2010|gigagrams|0.6135
Manure applied to Soils|Anguilla|Stocks|Cattle, dairy|2010||0
Manure applied to Soils|Anguilla|Manure applied to soils (N content)|Cattle, dairy|2010||0
Manure applied to Soils|Anguilla|Manure applied to soils that leaches (N content)|Cattle, dairy|2010||0
Manure applied to Soils|Anguilla|Manure applied to soils that volatilises (N content)|Cattle, dairy|2010||0
Manure applied to Soils|Anguilla|Implied emission factor for N2O (Manure applied)|Cattle, dairy|2010||0
Manure applied to Soils|Anguilla|Emissions (N2O) (Manure applied)|Cattle, dairy|2010||0
Manure applied to Soils|Anguilla|Stocks|Cattle, non-dairy|2010||0
Manure applied to Soils|Anguilla|Manure applied to soils (N content)|Cattle, non-dairy|2010||0
Manure applied to Soils|Anguilla|Manure applied to soils that leaches (N content)|Cattle, non-dairy|2010||0
Manure applied to Soils|Anguilla|Manure applied to soils that volatilises (N content)|Cattle, non-dairy|2010||0
