Domain,Area,Element,Item,Year,Unit,Value
Land Use,Chile,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Chile,Area,Land with temporary fallow,2010,,0
Land Use,Chile,Area,Land under perm. meadows and pastures,2010,1000 ha,14015
Land Use,China,Area,Land under temp. meadows and pastures,2010,,0
Land Use,China,Area,Land with temporary fallow,2010,,0
Land Use,China,Area,Land under perm. meadows and pastures,2010,1000 ha,392831
Land Use,"China, Hong Kong SAR",Area,Land under temp. meadows and pastures,2010,,0
Land Use,"China, Hong Kong SAR",Area,Land with temporary fallow,2010,,0
Land Use,"China, Hong Kong SAR",Area,Land under perm. meadows and pastures,2010,1000 ha,1
Land Use,"China, Macao SAR",Area,Land under temp. meadows and pastures,2010,,0
Land Use,"China, Macao SAR",Area,Land with temporary fallow,2010,,0
Land Use,"China, Macao SAR",Area,Land under perm. meadows and pastures,2010,,0
Land Use,"China, mainland",Area,Land under temp. meadows and pastures,2010,,0
Land Use,"China, mainland",Area,Land with temporary fallow,2010,,0
Land Use,"China, mainland",Area,Land under perm. meadows and pastures,2010,1000 ha,392830
Land Use,"China, Taiwan Province of",Area,Land under temp. meadows and pastures,2010,,0
Land Use,"China, Taiwan Province of",Area,Land with temporary fallow,2010,,0
Land Use,"China, Taiwan Province of",Area,Land under perm. meadows and pastures,2010,,0
Land Use,Colombia,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Colombia,Area,Land with temporary fallow,2010,1000 ha,112
Land Use,Colombia,Area,Land under perm. meadows and pastures,2010,1000 ha,39150
Land Use,Comoros,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Comoros,Area,Land with temporary fallow,2010,,0
Land Use,Comoros,Area,Land under perm. meadows and pastures,2010,1000 ha,15
Land Use,Congo,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Congo,Area,Land with temporary fallow,2010,,0
Land Use,Congo,Area,Land under perm. meadows and pastures,2010,1000 ha,10000
Land Use,Cook Islands,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Cook Islands,Area,Land with temporary fallow,2010,,0
Land Use,Cook Islands,Area,Land under perm. meadows and pastures,2010,,0
Land Use,Costa Rica,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Costa Rica,Area,Land with temporary fallow,2010,,0
Land Use,Costa Rica,Area,Land under perm. meadows and pastures,2010,1000 ha,1279
Land Use,Côte d'Ivoire,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Côte d'Ivoire,Area,Land with temporary fallow,2010,,0
Land Use,Côte d'Ivoire,Area,Land under perm. meadows and pastures,2010,1000 ha,13200
Land Use,Croatia,Area,Land under temp. meadows and pastures,2010,1000 ha,40
Land Use,Croatia,Area,Land with temporary fallow,2010,1000 ha,12
Land Use,Croatia,Area,Land under perm. meadows and pastures,2010,1000 ha,345.4
Land Use,Cuba,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Cuba,Area,Land with temporary fallow,2010,1000 ha,1171.5
Land Use,Cuba,Area,Land under perm. meadows and pastures,2010,1000 ha,2657.2
Land Use,Cyprus,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Cyprus,Area,Land with temporary fallow,2010,1000 ha,9.5
Land Use,Cyprus,Area,Land under perm. meadows and pastures,2010,1000 ha,2
Land Use,Czechia,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Czechia,Area,Land with temporary fallow,2010,1000 ha,45
Land Use,Czechia,Area,Land under perm. meadows and pastures,2010,1000 ha,986
Land Use,Czechoslovakia,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Czechoslovakia,Area,Land with temporary fallow,2010,,0
Land Use,Czechoslovakia,Area,Land under perm. meadows and pastures,2010,,0
Land Use,Democratic People's Republic of Korea,Area,Land under temp. meadows and pastures,2010,,0
Land Use,Democratic People's Republic of Korea,Area,Land with temporary fallow,2010,,0
Land Use,Democratic People's Republic of Korea,Area,Land under perm. meadows and pastures,2010,1000 ha,50
Land Use,Democratic Republic of the Congo,Area,Land under temp. meadows and pastures,2010,,0
