Aggregate|AggregateCode|FBS_ItemCode|FBS_ItemName|Type|SUA_ItemCode|SUA_ItemName,,
All|7000|2570|Oilcrops, Other|Vegetal|339|Oilseeds Nes,
All|7000|2601|Tomatoes|Vegetal|388|Tomatoes,,
All|7000|2602|Onions|Vegetal|403|Onions, Dry,
All|7000|2605|Vegetables, Other|Vegetal|358|Cabbages,
All|7000|2605|Vegetables, Other|Vegetal|366|Artichokes,
All|7000|2605|Vegetables, Other|Vegetal|367|Asparagus,
All|7000|2605|Vegetables, Other|Vegetal|372|Lettuce,
All|7000|2605|Vegetables, Other|Vegetal|373|Spinach,
All|7000|2605|Vegetables, Other|Vegetal|378|Cassava Leav,
All|7000|2605|Vegetables, Other|Vegetal|393|Cauliflower,
All|7000|2605|Vegetables, Other|Vegetal|394|Pumpk+Sq+Grd,
All|7000|2605|Vegetables, Other|Vegetal|397|Cucmbr+Gherk,
All|7000|2605|Vegetables, Other|Vegetal|399|Eggplants,
All|7000|2605|Vegetables, Other|Vegetal|401|Chil+Pep,Grn
All|7000|2605|Vegetables, Other|Vegetal|402|Onions,Green
All|7000|2605|Vegetables, Other|Vegetal|406|Garlic,
All|7000|2605|Vegetables, Other|Vegetal|407|Leeks And Ot,
All|7000|2605|Vegetables, Other|Vegetal|414|Beans, Green
All|7000|2605|Vegetables, Other|Vegetal|417|Peas, Green
All|7000|2605|Vegetables, Other|Vegetal|420|Brd Bean,Grn
All|7000|2605|Vegetables, Other|Vegetal|423|String Beans,
All|7000|2605|Vegetables, Other|Vegetal|426|Carrots,
All|7000|2605|Vegetables, Other|Vegetal|430|Okra,
All|7000|2605|Vegetables, Other|Vegetal|446|Green Corn,
All|7000|2605|Vegetables, Other|Vegetal|449|Mushrooms,
All|7000|2605|Vegetables, Other|Vegetal|459|Chicory Root,
All|7000|2605|Vegetables, Other|Vegetal|461|Carobs,
All|7000|2605|Vegetables, Other|Vegetal|463|Vegetables F,
All|7000|2605|Vegetables, Other|Vegetal|567|Watermelons,
All|7000|2605|Vegetables, Other|Vegetal|568|Other melons (inc.cantaloupes),
All|7000|2611|Oranges, Mandarines|Vegetal|490|Oranges,
All|7000|2611|Oranges, Mandarines|Vegetal|495|Tangerines,
All|7000|2612|Lemons, Limes|Vegetal|497|Lemons Limes,
All|7000|2613|Grapefruit|Vegetal|507|Grapefruit,,
All|7000|2614|Citrus, Other|Vegetal|512|Citr Frt Nes,
All|7000|2615|Bananas|Vegetal|486|Bananas,,
All|7000|2616|Plantains|Vegetal|489|Plantains,,
All|7000|2617|Apples|Vegetal|515|Apples,,
All|7000|2618|Pineapples|Vegetal|574|Pineapples,,
All|7000|2619|Dates|Vegetal|577|Dates,,
All|7000|2620|Grapes|Vegetal|560|Grapes,,
All|7000|2625|Fruits, Other|Vegetal|521|Pears,
All|7000|2625|Fruits, Other|Vegetal|523|Quinces,
All|7000|2625|Fruits, Other|Vegetal|526|Apricots,
All|7000|2625|Fruits, Other|Vegetal|530|Sour Cherry,
All|7000|2625|Fruits, Other|Vegetal|531|Cherries,
All|7000|2625|Fruits, Other|Vegetal|534|Peaches,
All|7000|2625|Fruits, Other|Vegetal|536|Plums,
All|7000|2625|Fruits, Other|Vegetal|541|Stone Fruit,
All|7000|2625|Fruits, Other|Vegetal|542|Pome Fruit,
All|7000|2625|Fruits, Other|Vegetal|544|Strawberries,
All|7000|2625|Fruits, Other|Vegetal|547|Raspberries,
All|7000|2625|Fruits, Other|Vegetal|549|Gooseberries,
All|7000|2625|Fruits, Other|Vegetal|550|Currants,
All|7000|2625|Fruits, Other|Vegetal|552|Blueberries,
All|7000|2625|Fruits, Other|Vegetal|554|Cranberries,
All|7000|2625|Fruits, Other|Vegetal|558|Berries Nes,
All|7000|2625|Fruits, Other|Vegetal|569|Figs,
All|7000|2625|Fruits, Other|Vegetal|571|Mangoes,
All|7000|2625|Fruits, Other|Vegetal|572|Avocados,
All|7000|2625|Fruits, Other|Vegetal|587|Persimmons,
All|7000|2625|Fruits, Other|Vegetal|591|Cashewapple,
All|7000|2625|Fruits, Other|Vegetal|592|Kiwi,
All|7000|2625|Fruits, Other|Vegetal|600|Papayas,
All|7000|2625|Fruits, Other|Vegetal|603|Frt Trop Nes,
All|7000|2625|Fruits, Other|Vegetal|619|Fruit Nes,
All|7000|2630|Coffee|Vegetal|656|Coffee,Green,
All|7000|2633|Cocoa Beans|Vegetal|661|Cocoa Beans,,
All|7000|2635|Tea|Vegetal|667|Tea,,
All|7000|2635|Tea|Vegetal|671|Mate,,
