"Country","All Classes","Arctic","Boreal, cold","Boreal, very cold","Subtropics, cold","Subtropics, cool","Subtropics, very cold","Subtropics, warm/mod. cool","Temperate, cold","Temperate, cool","Temperate, very cold","Tropics, cool/cold/very cold","Tropics, warm","Undefined"
"Cape Verde",4076.067628443241,0.0,0.0,0.0,0.0,0.0,0.0,13.155959129333496,0.0,0.0,0.0,361.3522825241089,3701.5593867897987,0.0
"Central African Republic",624200.2502593398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624200.2502593398,0.0
"Chad",1276646.4445235133,0.0,0.0,0.0,0.0,0.0,0.0,85967.34440356493,0.0,0.0,0.0,17122.002754211426,1173557.097365737,0.0
"Chile",753686.5413992703,21560.750184118748,17286.737805128098,36850.69522714615,12129.547385394573,81845.93098407984,10678.594779968262,153223.02538233995,68196.4904204607,87299.34387362003,54602.199189305305,209885.97492957115,110.88977003097534,16.361468106508255
"China",9378815.804560244,0.0,0.0,0.0,404189.4811024666,746550.4117435813,1635535.937752664,1153958.574203968,525595.397651732,4355847.085332572,166075.80429303646,311810.3419688344,79236.36517989635,16.40533149242401
"Colombia",1145383.4839366078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150561.18955487013,994821.4359264374,0.8584553003311157
"Comoros",1685.3793986439705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.77281951904297,1518.6065791249275,0.0
"Congo",343881.2654572129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343881.2654572129,0.0
"Cook Islands",248.81535166502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.75065088272095,5.064700782299042
"Costa Rica",51539.240432322025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7043.971489191055,44494.42137956619,0.8475635647773743
"Croatia",56381.74740952253,0.0,0.0,0.0,0.0,6004.583438158035,0.0,3443.6978348493576,0.0,46931.60250663757,0.0,0.0,0.0,1.8636298775672913
"Cuba",111826.40216338634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.78059387207031,111726.43625223637,19.185317277908325
"Cyprus",9010.30378895998,0.0,0.0,0.0,0.0,70.37291717529297,0.0,8939.930871784687,0.0,0.0,0.0,0.0,0.0,0.0
"Czech Republic",78460.97484052181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.1535472869873,77647.82129323483,0.0,0.0,0.0,0.0
"Côte d'Ivoire",323939.6197439432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323939.6197439432,0.0
"Democratic People's Republic of Korea",122304.51321184635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12950.867120981216,109351.65861660242,0.0,0.0,0.0,1.987474262714386
"Democratic Republic of the Congo",2343542.481987059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79513.1454538703,2264029.336533189,0.0
