Domain,Area,Element,Item,Year,Unit,Value
Fertilizers indicators,Georgia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,24.83
Fertilizers indicators,Germany,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,148.32
Fertilizers indicators,Ghana,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,3.39
Fertilizers indicators,Gibraltar,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Greece,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,47.82
Fertilizers indicators,Greenland,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Grenada,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Guadeloupe,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Guam,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Guatemala,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,65.62
Fertilizers indicators,Guinea,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,0.7
Fertilizers indicators,Guinea-Bissau,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Guyana,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,31.55
Fertilizers indicators,Haiti,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Holy See,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Honduras,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,33.56
Fertilizers indicators,Hungary,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,59.51
Fertilizers indicators,Iceland,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,61.71
Fertilizers indicators,India,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,97.21
Fertilizers indicators,Indonesia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,62.43
Fertilizers indicators,Iran (Islamic Republic of),Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,55.31
Fertilizers indicators,Iraq,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,25.59
Fertilizers indicators,Ireland,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,150
Fertilizers indicators,Isle of Man,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,0
Fertilizers indicators,Israel,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,81.42
Fertilizers indicators,Italy,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,51.78
Fertilizers indicators,Jamaica,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,22.45
Fertilizers indicators,Japan,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,97.86
Fertilizers indicators,Jordan,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Kazakhstan,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,1.41
Fertilizers indicators,Kenya,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,11.76
Fertilizers indicators,Kiribati,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Kuwait,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Kyrgyzstan,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,19.04
Fertilizers indicators,Lao People's Democratic Republic,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Latvia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,49.7
Fertilizers indicators,Lebanon,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,73.36
Fertilizers indicators,Lesotho,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Liberia,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Libya,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,15.6
Fertilizers indicators,Liechtenstein,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Lithuania,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,49.59
Fertilizers indicators,Luxembourg,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,216.96
Fertilizers indicators,Madagascar,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,1.27
Fertilizers indicators,Malawi,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,25.17
Fertilizers indicators,Malaysia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,93.02
Fertilizers indicators,Maldives,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,18.41
Fertilizers indicators,Mali,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,12.15
Fertilizers indicators,Malta,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,39.69
Fertilizers indicators,Marshall Islands,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,0.09
Fertilizers indicators,Martinique,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Mauritania,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Mauritius,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,61.01
Fertilizers indicators,Mayotte,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Mexico,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,44.45
Fertilizers indicators,Micronesia (Federated States of),Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Monaco,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Mongolia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,17.87
Fertilizers indicators,Montenegro,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Montserrat,Use per area of cropland,Nutrient nitrogen N (total),2010,,0
Fertilizers indicators,Morocco,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,24.51
Fertilizers indicators,Mozambique,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,7.29
Fertilizers indicators,Myanmar,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,4.2
Fertilizers indicators,Namibia,Use per area of cropland,Nutrient nitrogen N (total),2010,kg/ha,3.52
