Domain,Area,Element,Item,Year,Unit,Value
Livestock Primary,India,Producing Animals/Slaughtered,"Skins, goat, fresh",2010,Head,52200000
Livestock Primary,India,Yield,"Skins, goat, fresh",2010,hg/An,18
Livestock Primary,India,Production,"Skins, goat, fresh",2010,tonnes,94909
Livestock Primary,India,Producing Animals/Slaughtered,"Skins, pig, fresh",2010,Head,10600000
Livestock Primary,India,Yield,"Skins, pig, fresh",2010,,0
Livestock Primary,India,Production,"Skins, pig, fresh",2010,,0
Livestock Primary,India,Producing Animals/Slaughtered,"Skins, sheep, fresh",2010,Head,21000000
Livestock Primary,India,Yield,"Skins, sheep, fresh",2010,hg/An,18
Livestock Primary,India,Production,"Skins, sheep, fresh",2010,tonnes,38267
Livestock Primary,India,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,20890000
Livestock Primary,India,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,1218
Livestock Primary,India,Production,Beef and Buffalo Meat,2010,tonnes,2543671
Livestock Primary,India,Laying,Eggs Primary,2010,1000 Head,303658
Livestock Primary,India,Yield,Eggs Primary,2010,100mg/An,111247
Livestock Primary,India,Production,Eggs Primary,2010,tonnes,3378100
Livestock Primary,India,Production,"Meat indigenous, total",2010,tonnes,6090241
Livestock Primary,India,Producing Animals/Slaughtered,"Meat, Poultry",2010,1000 Head,1842348
Livestock Primary,India,Yield/Carcass Weight,"Meat, Poultry",2010,0.1g/An,12083
Livestock Primary,India,Production,"Meat, Poultry",2010,tonnes,2226150
Livestock Primary,India,Milk Animals,"Milk, Total",2010,Head,119186302
Livestock Primary,India,Yield,"Milk, Total",2010,hg/An,10242
Livestock Primary,India,Production,"Milk, Total",2010,tonnes,122069689
Livestock Primary,India,Producing Animals/Slaughtered,Sheep and Goat Meat,2010,Head,73200000
Livestock Primary,India,Yield/Carcass Weight,Sheep and Goat Meat,2010,hg/An,106
Livestock Primary,India,Production,Sheep and Goat Meat,2010,tonnes,774000
Livestock Primary,Ireland,Producing Animals/Slaughtered,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Ireland,Yield,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Ireland,Production,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Ireland,Producing Animals/Slaughtered,"Hides, cattle, fresh",2010,Head,1716600
Livestock Primary,Ireland,Yield,"Hides, cattle, fresh",2010,hg/An,351
Livestock Primary,Ireland,Production,"Hides, cattle, fresh",2010,tonnes,60211
Livestock Primary,Ireland,Producing Animals/Slaughtered,"Meat, pig",2010,Head,2657300
Livestock Primary,Ireland,Yield/Carcass Weight,"Meat, pig",2010,hg/An,806
Livestock Primary,Ireland,Production,"Meat, pig",2010,tonnes,214300
Livestock Primary,Ireland,Producing Animals/Slaughtered,"Skins, goat, fresh",2010,,0
Livestock Primary,Ireland,Yield,"Skins, goat, fresh",2010,,0
Livestock Primary,Ireland,Production,"Skins, goat, fresh",2010,,0
Livestock Primary,Ireland,Producing Animals/Slaughtered,"Skins, pig, fresh",2010,Head,2657300
Livestock Primary,Ireland,Yield,"Skins, pig, fresh",2010,,0
Livestock Primary,Ireland,Production,"Skins, pig, fresh",2010,,0
Livestock Primary,Ireland,Producing Animals/Slaughtered,"Skins, sheep, fresh",2010,Head,2382900
Livestock Primary,Ireland,Yield,"Skins, sheep, fresh",2010,hg/An,40
Livestock Primary,Ireland,Production,"Skins, sheep, fresh",2010,tonnes,9540
Livestock Primary,Ireland,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,1716600
Livestock Primary,Ireland,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,3257
Livestock Primary,Ireland,Production,Beef and Buffalo Meat,2010,tonnes,559100
Livestock Primary,Ireland,Laying,Eggs Primary,2010,1000 Head,3800
Livestock Primary,Ireland,Yield,Eggs Primary,2010,100mg/An,118421
Livestock Primary,Ireland,Production,Eggs Primary,2010,tonnes,45000
Livestock Primary,Ireland,Production,"Meat indigenous, total",2010,tonnes,1055586
Livestock Primary,Ireland,Producing Animals/Slaughtered,"Meat, Poultry",2010,1000 Head,85100
Livestock Primary,Ireland,Yield/Carcass Weight,"Meat, Poultry",2010,0.1g/An,13561
Livestock Primary,Ireland,Production,"Meat, Poultry",2010,tonnes,115400
Livestock Primary,Ireland,Milk Animals,"Milk, Total",2010,Head,1070800
Livestock Primary,Ireland,Yield,"Milk, Total",2010,hg/An,49748
Livestock Primary,Ireland,Production,"Milk, Total",2010,tonnes,5327000
Livestock Primary,Ireland,Producing Animals/Slaughtered,Sheep and Goat Meat,2010,Head,2382900
Livestock Primary,Ireland,Yield/Carcass Weight,Sheep and Goat Meat,2010,hg/An,200
Livestock Primary,Ireland,Production,Sheep and Goat Meat,2010,tonnes,47700
Livestock Primary,Netherlands,Producing Animals/Slaughtered,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Netherlands,Yield,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Netherlands,Production,"Hides, buffalo, fresh",2010,,0
Livestock Primary,Netherlands,Producing Animals/Slaughtered,"Hides, cattle, fresh",2010,Head,2057000
Livestock Primary,Netherlands,Yield,"Hides, cattle, fresh",2010,hg/An,164
Livestock Primary,Netherlands,Production,"Hides, cattle, fresh",2010,tonnes,33823
Livestock Primary,Netherlands,Producing Animals/Slaughtered,"Meat, pig",2010,Head,13943600
Livestock Primary,Netherlands,Yield/Carcass Weight,"Meat, pig",2010,hg/An,928
Livestock Primary,Netherlands,Production,"Meat, pig",2010,tonnes,1294000
Livestock Primary,Netherlands,Producing Animals/Slaughtered,"Skins, goat, fresh",2010,Head,104929
Livestock Primary,Netherlands,Yield,"Skins, goat, fresh",2010,hg/An,25
Livestock Primary,Netherlands,Production,"Skins, goat, fresh",2010,tonnes,264
Livestock Primary,Netherlands,Producing Animals/Slaughtered,"Skins, pig, fresh",2010,Head,13943600
Livestock Primary,Netherlands,Yield,"Skins, pig, fresh",2010,,0
Livestock Primary,Netherlands,Production,"Skins, pig, fresh",2010,,0
Livestock Primary,Netherlands,Producing Animals/Slaughtered,"Skins, sheep, fresh",2010,Head,581705
Livestock Primary,Netherlands,Yield,"Skins, sheep, fresh",2010,hg/An,45
Livestock Primary,Netherlands,Production,"Skins, sheep, fresh",2010,tonnes,2633
Livestock Primary,Netherlands,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,2057000
Livestock Primary,Netherlands,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,1889
Livestock Primary,Netherlands,Production,Beef and Buffalo Meat,2010,tonnes,388610
Livestock Primary,Netherlands,Laying,Eggs Primary,2010,1000 Head,47904
Livestock Primary,Netherlands,Yield,Eggs Primary,2010,100mg/An,139863
Livestock Primary,Netherlands,Production,Eggs Primary,2010,tonnes,670000
Livestock Primary,Netherlands,Production,"Meat indigenous, total",2010,tonnes,3488353
Livestock Primary,Netherlands,Producing Animals/Slaughtered,"Meat, Poultry",2010,1000 Head,497637
Livestock Primary,Netherlands,Yield/Carcass Weight,"Meat, Poultry",2010,0.1g/An,17198
Livestock Primary,Netherlands,Production,"Meat, Poultry",2010,tonnes,855818
Livestock Primary,Netherlands,Milk Animals,"Milk, Total",2010,Head,1804820
Livestock Primary,Netherlands,Yield,"Milk, Total",2010,hg/An,65409
Livestock Primary,Netherlands,Production,"Milk, Total",2010,tonnes,11805073
Livestock Primary,Netherlands,Producing Animals/Slaughtered,Sheep and Goat Meat,2010,Head,686634
Livestock Primary,Netherlands,Yield/Carcass Weight,Sheep and Goat Meat,2010,hg/An,212
Livestock Primary,Netherlands,Production,Sheep and Goat Meat,2010,tonnes,14528
Livestock Primary,United States of America,Producing Animals/Slaughtered,"Hides, buffalo, fresh",2010,Head,
Livestock Primary,United States of America,Yield,"Hides, buffalo, fresh",2010,,0
Livestock Primary,United States of America,Production,"Hides, buffalo, fresh",2010,tonnes,0
Livestock Primary,United States of America,Producing Animals/Slaughtered,"Hides, cattle, fresh",2010,Head,35285000
Livestock Primary,United States of America,Yield,"Hides, cattle, fresh",2010,hg/An,306
Livestock Primary,United States of America,Production,"Hides, cattle, fresh",2010,tonnes,1078220
Livestock Primary,United States of America,Producing Animals/Slaughtered,"Meat, pig",2010,Head,110367000
Livestock Primary,United States of America,Yield/Carcass Weight,"Meat, pig",2010,hg/An,923
Livestock Primary,United States of America,Production,"Meat, pig",2010,tonnes,10185656
Livestock Primary,United States of America,Producing Animals/Slaughtered,"Skins, goat, fresh",2010,Head,779100
Livestock Primary,United States of America,Yield,"Skins, goat, fresh",2010,hg/An,28
Livestock Primary,United States of America,Production,"Skins, goat, fresh",2010,tonnes,2217
Livestock Primary,United States of America,Producing Animals/Slaughtered,"Skins, pig, fresh",2010,Head,110367000
Livestock Primary,United States of America,Yield,"Skins, pig, fresh",2010,,0
Livestock Primary,United States of America,Production,"Skins, pig, fresh",2010,,0
Livestock Primary,United States of America,Producing Animals/Slaughtered,"Skins, sheep, fresh",2010,Head,2552800
Livestock Primary,United States of America,Yield,"Skins, sheep, fresh",2010,hg/An,32
Livestock Primary,United States of America,Production,"Skins, sheep, fresh",2010,tonnes,8121
Livestock Primary,United States of America,Producing Animals/Slaughtered,Beef and Buffalo Meat,2010,Head,35285000
Livestock Primary,United States of America,Yield/Carcass Weight,Beef and Buffalo Meat,2010,hg/An,3350
Livestock Primary,United States of America,Production,Beef and Buffalo Meat,2010,tonnes,11818953
Livestock Primary,United States of America,Laying,Eggs Primary,2010,1000 Head,341505
Livestock Primary,United States of America,Yield,Eggs Primary,2010,100mg/An,159207
Livestock Primary,United States of America,Production,Eggs Primary,2010,tonnes,5437000
Livestock Primary,United States of America,Production,"Meat indigenous, total",2010,tonnes,40979611
Livestock Primary,United States of America,Producing Animals/Slaughtered,"Meat, Poultry",2010,1000 Head,9056530
Livestock Primary,United States of America,Yield/Carcass Weight,"Meat, Poultry",2010,0.1g/An,21624
Livestock Primary,United States of America,Production,"Meat, Poultry",2010,tonnes,19583418
Livestock Primary,United States of America,Milk Animals,"Milk, Total",2010,Head,9479000
Livestock Primary,United States of America,Yield,"Milk, Total",2010,hg/An,92331
Livestock Primary,United States of America,Production,"Milk, Total",2010,tonnes,87520952
Livestock Primary,United States of America,Producing Animals/Slaughtered,Sheep and Goat Meat,2010,Head,3331900
Livestock Primary,United States of America,Yield/Carcass Weight,Sheep and Goat Meat,2010,hg/An,264
Livestock Primary,United States of America,Production,Sheep and Goat Meat,2010,tonnes,87825
