Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
POLES ADVANCE,ADVANCE_2030_WB2C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,142.1919405,147.515869,152.1450238,157.1981667,149.358,140.3351071,113.157631,96.92586905,91.34889881,85.65309524,84.52657143,83.6361369,83.05543452,82.5839881,82.14232143,81.74179762,81.45729167,81.23847619,81.08757143,81.47327381
POLES ADVANCE,ADVANCE_2030_WB2C,World,Population,million,,6519.617,6930.114,7352.163,7762.174,8147.587,8509.445,8851.287,9173.93,9474.89,9750.042,9997.394,10216.471,10407.837,10580.054,10733.665,10868.609,10985.482,11087.241,11174.48,11245.415
POLES CD-LINKS,CD-LINKS_NPi2020_400,World,Emissions|CH4|AFOLU,Mt CH4/yr,,139.6531372,144.5749969,150.6513062,157.114212,128.9640503,95.23690033,82.40532684,75.90431213,73.59190369,71.21311188,,67.32432556,,64.01422882,,61.19441605,,58.68562698,,56.21268845
POLES CD-LINKS,CD-LINKS_NPi2020_400,World,Population,million,,6435.293945,6841.797852,7258.305176,7663.53418,8045.13623,8404.070313,8743.451172,9063.827148,9362.804688,9636.523438,,10101.83789,,10465.80859,,10755.29688,,10975.28223,,11135.32031
REMIND 1.7,ADVANCE_2020_1.5C-2100,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5003,181.6203,201.6234,211.0514,195.8673,195.9449,191.5795,187.6234,185.6153,181.1218,184.2896,185.3953,,184.5141,,180.9719,,172.7165,,158.6421
REMIND 1.7,ADVANCE_2020_1.5C-2100,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND 1.7,ADVANCE_2030_1.5C-2100,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5003,181.6203,201.6234,211.0514,212.8148,215.9147,197.3672,190.0511,185.4164,181.1218,184.2896,185.3953,,184.5141,,180.9719,,172.7165,,158.6421
REMIND 1.7,ADVANCE_2030_1.5C-2100,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.3738,8287.5745,8565.3943,8809.9672,9018.4261,9186.5608,9311.6739,9395.1232,,9457.9448,,9399.8698,,9239.5293,,9012.2116
REMIND 1.7,ADVANCE_2030_Price1.5C,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5003,181.6203,201.6234,211.0514,212.8148,215.9147,197.509,190.5783,185.6153,181.1218,184.2896,185.3953,,184.5141,,180.9719,,172.7165,,158.6421
REMIND 1.7,ADVANCE_2030_Price1.5C,World,Population,million,,6465.587,6858.4392,7248.0137,7637.5883,7978.374,8287.574,8565.394,8809.967,9018.426,9186.561,9311.674,9395.123,,9457.945,,9399.87,,9239.529,,9012.212
REMIND 1.7,CEMICS-1.5-CDR20,World,Emissions|CH4|AFOLU,Mt CH4/yr,,157.5003,181.6203,201.6234,204.5662,195.8921,196.0947,191.5795,187.8169,185.6153,181.1218,184.2896,185.3953,,184.5141,,180.9719,,172.7165,,158.6421
